PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Johnny Gaudreau,CBJ,W,W,80,21,53,74,-33,0,22,5,18,220,20222023,209.5,2.6188
Conor Timmins,ARI/TOR,D,D,27,2,12,14,-1,0,8,23,18,19,20222023,43.5,1.6111
Conor Sheary,WAS,W,W,82,15,22,37,9,2,22,57,39,154,20222023,145.6,1.7756
Andrew Mangiapane,CGY,W,W,82,17,26,43,12,2,40,86,26,182,20222023,168,2.0488
Jake Guentzel,PIT,W,W,78,36,37,73,2,0,46,83,46,244,20222023,261.8,3.3564
Anze Kopitar,LAK,C,C,82,28,46,74,20,1,4,68,87,169,20222023,255.5,3.1159
Sean Kuraly,CBJ,C,C,71,11,9,20,-28,2,68,187,46,100,20222023,113.8,1.6028
Milan Lucic,CGY,W,W,77,7,12,19,-13,0,43,168,15,73,20222023,93.8,1.2182
Robert Thomas,STL,C,C,73,18,47,65,-8,1,22,15,29,106,20222023,178.5,2.4452
Jordan Kyrou,STL,C,CW,79,37,36,73,-38,1,22,14,35,272,20222023,239.3,3.0291
Seth Jarvis,CAR,C,CW,82,14,25,39,10,1,12,73,48,187,20222023,161.4,1.9683
Shea Theodore,VGK,D,D,55,8,33,41,16,0,18,16,86,136,20222023,151,2.7455
Anthony Duclair,FLA,W,W,20,2,7,9,4,0,2,20,9,43,20222023,36.5,1.825
Lucas Carlsson,FLA,D,D,2,0,0,0,-1,0,2,3,1,2,20222023,1,0.5
Kevin Hayes,PHI,C,C,81,18,36,54,-22,0,23,52,22,209,20222023,178.2,2.2
Jonah Gadjovich,SJS,W,W,35,3,4,7,-3,0,57,92,5,32,20222023,42.4,1.2114
Simon Holmstrom,NYI,W,W,50,6,3,9,-4,0,0,9,22,39,20222023,39,0.78
Alex Killorn,TBL,W,W,82,27,37,64,18,2,45,61,31,143,20222023,210.5,2.5671
Rasmus Asplund,BUF/NAS,C,C,46,2,6,8,-6,1,4,23,11,54,20222023,34.9,0.7587
Jake Muzzin,TOR,D,D,4,0,1,1,0,0,2,11,10,8,20222023,8.8,2.2
Artem Zub,OTT,D,D,53,3,7,10,2,0,39,131,67,41,20222023,78.1,1.4736
Esa Lindell,DAL,D,D,82,8,16,24,29,2,10,87,147,116,20222023,149.4,1.822
