PLAYER,TEAM,POS,POSF,GP,G,A,PTS,+/-,SHP,PIM,HITS,BLOCKS,SOG,SEASON,FP,FP/GP
Sean Durzi,LAK,D,D,72,9,29,38,-12,0,50,68,142,110,20222023,159.6,2.2167
Nicholas Robertson,TOR,W,W,15,2,3,5,2,0,0,18,7,27,20222023,23.7,1.58
Jacob MacDonald,COL/SJS,D,D,58,1,7,8,-14,0,23,69,43,75,20222023,54.5,0.9397
Adrian Kempe,LAK,W,CW,82,41,26,67,22,3,55,119,32,250,20222023,265,3.2317
Cam Fowler,ANA,D,D,82,10,38,48,-23,0,14,18,104,130,20222023,159.9,1.95
Henri Jokiharju,BUF,D,D,60,3,10,13,-12,0,30,63,58,79,20222023,71.2,1.1867
Trent Frederic,BOS,C,CW,79,17,14,31,28,1,57,105,36,120,20222023,143.2,1.8127
Matias Maccelli,ARI,W,W,64,11,38,49,0,0,18,24,20,61,20222023,132,2.0625
Arber Xhekaj,MTL,D,D,51,5,8,13,-9,0,101,159,46,75,20222023,88.9,1.7431
Mark Borowiecki,NAS,D,D,4,0,0,0,0,0,12,5,1,1,20222023,1.5,0.375
Rasmus Ristolainen,PHI,D,D,74,3,17,20,-4,3,32,162,142,86,20222023,134,1.8108
Tomas Nosek,BOS,W,W,66,7,11,18,9,2,48,69,31,69,20222023,82.6,1.2515
Alex Pietrangelo,VGK,D,D,73,11,43,54,13,2,16,65,177,170,20222023,223,3.0548
Kris Letang,PIT,D,D,64,12,29,41,-13,1,30,162,108,161,20222023,187.1,2.9234
Tyler Johnson,CHI,C,C,56,12,20,32,-21,0,16,49,25,125,20222023,112,2
Denis Gurianov,DAL/MTL,W,W,66,7,10,17,-9,0,10,43,27,116,20222023,78.2,1.1848
Tyler Myers,VAN,D,D,78,1,16,17,-16,1,76,93,144,100,20222023,112,1.4359
Marcus Pettersson,PIT,D,D,68,1,23,24,4,0,58,133,131,96,20222023,135.3,1.9897
Scott Mayfield,NYI,D,D,82,6,18,24,8,0,83,107,168,119,20222023,152,1.8537
Henry Thrun,SJS,D,D,8,0,2,2,-3,0,0,4,9,7,20222023,8,1
Nick Blankenburg,CBJ,D,D,36,4,10,14,-16,0,16,61,49,50,20222023,64.1,1.7806
David Savard,MTL,D,D,62,3,17,20,-14,1,40,61,176,63,20222023,116.4,1.8774
Ross Johnston,NYI,W,W,16,0,2,2,-1,0,37,34,5,2,20222023,12.4,0.775
Jakub Vrana,DET/STL,W,W,25,11,5,16,3,0,10,14,6,63,20222023,61.1,2.444
Sean Walker,LAK,D,D,70,3,10,13,-3,0,36,77,104,94,20222023,93.5,1.3357
Niko Mikkola,STL/NYR,D,D,81,1,5,6,6,0,58,151,106,62,20222023,89.2,1.1012
A.J. Greer,BOS,W,W,61,5,7,12,9,0,114,101,25,66,20222023,72.6,1.1902
Elias Lindholm,CGY,C,C,80,22,42,64,6,3,14,98,50,186,20222023,223.6,2.795
Timothy Liljegren,TOR,D,D,67,6,12,18,24,2,30,107,93,84,20222023,115.3,1.7209
Matt Dumba,MIN,D,D,79,4,10,14,-8,0,81,104,116,99,20222023,105,1.3291
Patrice Bergeron,BOS,C,C,78,27,31,58,35,2,22,66,54,249,20222023,232.7,2.9833
Max Domi,CHI/DAL,C,CW,80,20,36,56,-15,0,82,22,24,179,20222023,174.9,2.1863
Colton Sissons,NAS,C,C,82,12,18,30,-4,1,20,164,72,87,20222023,142.6,1.739
Nino Niederreiter,NAS/WPG,W,W,78,24,17,41,-13,0,22,165,33,181,20222023,181.2,2.3231
Ilya Lyubushkin,BUF,D,D,68,2,12,14,-2,2,38,99,104,41,20222023,88.6,1.3029
Thomas Harley,DAL,D,D,6,0,2,2,5,0,2,1,8,8,20222023,9.7,1.6167
Keegan Kolesar,VGK,W,W,74,8,10,18,6,0,68,279,31,63,20222023,123.5,1.6689
Erik Karlsson,SJS,D,D,82,25,76,101,-26,0,36,33,90,209,20222023,294.6,3.5927
Darren Raddysh,TBL,D,D,17,1,2,3,-4,0,4,25,16,25,20222023,20.6,1.2118
Dougie Hamilton,NJD,D,D,82,22,52,74,23,0,50,64,86,275,20222023,270.5,3.2988
Tomas Hertl,SJS,C,C,79,22,41,63,-36,0,42,91,57,183,20222023,209.1,2.6468
Jonathan Drouin,MTL,W,W,58,2,27,29,-18,0,18,29,23,69,20222023,81.1,1.3983
Alexander Edler,LAK,D,D,64,2,9,11,-1,0,34,106,104,56,20222023,87.3,1.3641
Andrew Copp,DET,C,C,82,9,33,42,2,1,25,32,45,120,20222023,137.5,1.6768
Noel Acciari,STL/TOR,C,C,77,14,9,23,-4,2,21,244,81,102,20222023,152.3,1.9779
Brayden Point,TBL,C,C,82,51,44,95,2,0,7,37,37,235,20222023,307.1,3.7451
Kyle Burroughs,VAN,D,D,48,2,3,5,-4,0,62,165,84,47,20222023,78.4,1.6333
Nikita Kucherov,TBL,W,W,82,30,83,113,-2,0,36,61,28,271,20222023,330.2,4.0268
Jack Hughes,NJD,C,CW,78,43,56,99,10,0,6,12,30,336,20222023,322.6,4.1359
Brendan Smith,NJD,D,D,60,0,5,5,3,1,63,102,76,58,20222023,65.7,1.095
Jackson LaCombe,ANA,D,D,2,0,0,0,-1,0,0,1,9,1,20222023,2.8,1.4
Ryan McLeod,EDM,C,C,57,11,12,23,4,3,18,40,20,78,20222023,87.8,1.5404
J.T. Miller,VAN,C,CW,81,32,50,82,-7,9,60,200,51,223,20222023,293.8,3.6272
Miro Heiskanen,DAL,D,D,79,11,62,73,12,1,32,49,96,206,20222023,240.4,3.043
James van Riemsdyk,PHI,W,W,61,12,17,29,-3,0,28,18,20,119,20222023,102.5,1.6803
Nicolas Hague,VGK,D,D,81,3,14,17,7,0,51,117,133,103,20222023,123,1.5185
Nicolas Roy,VGK,C,C,65,14,16,30,10,1,24,83,41,101,20222023,126.1,1.94
Ty Dellandrea,DAL,C,C,82,9,19,28,9,3,54,125,39,92,20222023,122.8,1.4976
Jordan Oesterle,DET,D,D,52,2,9,11,-9,0,19,41,68,54,20222023,60.7,1.1673
Jake DeBrusk,BOS,W,W,64,27,23,50,26,1,16,85,22,191,20222023,196.6,3.0719
Dakota Joshua,VAN,C,C,79,11,12,23,-16,1,60,222,30,71,20222023,119.8,1.5165
Jake Neighbours,STL,W,W,43,6,4,10,-19,0,24,63,21,53,20222023,49.8,1.1581
Adam Erne,DET,W,W,61,8,10,18,-12,1,21,160,55,55,20222023,99.9,1.6377
Conor Garland,VAN,W,W,81,17,29,46,-5,0,31,47,20,167,20222023,156.3,1.9296
Jason Dickinson,CHI,C,C,78,9,21,30,-29,4,28,112,80,114,20222023,129.5,1.6603
Riley Tufte,DAL,W,W,3,0,0,0,-1,0,0,6,0,1,20222023,1.1,0.3667
Hampus Lindholm,BOS,D,D,80,10,43,53,49,0,56,78,100,158,20222023,207.9,2.5988
Trevor Zegras,ANA,C,C,81,23,42,65,-24,0,88,46,29,184,20222023,200.5,2.4753
Jesse Puljujarvi,EDM/CAR,W,W,75,5,11,16,-13,0,32,139,26,125,20222023,93.7,1.2493
Blake Coleman,CGY,C,CW,82,18,20,38,9,2,54,107,39,188,20222023,167.4,2.0415
Brett Pesce,CAR,D,D,82,5,25,30,11,2,43,37,110,144,20222023,137.5,1.6768
Charlie McAvoy,BOS,D,D,67,7,45,52,29,0,54,84,131,105,20222023,196.8,2.9373
Brad Marchand,BOS,W,W,73,21,46,67,27,1,74,81,22,183,20222023,222.5,3.0479
Leon Draisaitl,EDM,C,CW,80,52,76,128,7,2,24,66,40,247,20222023,384.7,4.8088
Luke Schenn,VAN/TOR,D,D,70,4,18,22,8,2,84,318,98,81,20222023,159.6,2.28
Ilya Mikheyev,VAN,W,W,46,13,15,28,3,0,2,13,14,91,20222023,94.9,2.063
Jack Studnicka,BOS/VAN,C,C,48,4,4,8,-12,0,16,61,19,65,20222023,47.3,0.9854
Alex Nylander,PIT,W,W,9,1,1,2,1,0,6,12,3,11,20222023,10.8,1.2
Michael Bunting,TOR,W,W,82,23,26,49,21,0,103,85,18,174,20222023,184.5,2.25
Cole Smith,NAS,W,W,69,4,13,17,-3,2,60,198,25,64,20222023,97,1.4058
Roope Hintz,DAL,C,C,73,37,38,75,31,3,30,47,45,184,20222023,256,3.5068
Barrett Hayton,ARI,C,C,82,19,24,43,-5,1,42,83,33,178,20222023,165.6,2.0195
Jacob Trouba,NYR,D,D,82,8,22,30,7,2,63,218,196,199,20222023,212.3,2.589
Andrew Cogliano,COL,C,C,79,10,9,19,6,2,44,55,54,85,20222023,94,1.1899
Alexander Romanov,NYI,D,D,76,2,20,22,13,1,43,198,129,100,20222023,148.2,1.95
Oskar Lindblom,SJS,W,W,73,6,9,15,-16,0,18,64,24,75,20222023,66.2,0.9068
Brayden Pachal,VGK,D,D,10,0,2,2,2,0,8,27,12,18,20222023,17.2,1.72
Tucker Poolman,VAN,D,D,3,0,1,1,1,0,0,2,2,3,20222023,3.9,1.3
Tyler Pitlick,STL,C,C,61,7,9,16,-1,0,14,103,29,54,20222023,78.8,1.2918
David Kampf,TOR,C,C,82,7,20,27,6,3,8,74,29,107,20222023,107.7,1.3134
Justin Braun,PHI,D,D,51,0,2,2,-1,0,19,47,49,42,20222023,36.2,0.7098
Dylan Cozens,BUF,C,C,81,31,37,68,-3,3,41,55,30,211,20222023,228.3,2.8185
Garnet Hathaway,WAS/BOS,W,W,84,13,9,22,5,1,69,268,83,88,20222023,154.6,1.8405
John Marino,NJD,D,D,64,4,14,18,21,1,20,44,81,67,20222023,92.8,1.45
Jeff Carter,PIT,C,C,79,13,16,29,-16,1,30,80,54,139,20222023,126.2,1.5975
Evgenii Dadonov,MTL/DAL,W,W,73,7,26,33,-8,0,18,33,43,110,20222023,112.1,1.5356
Andreas Johnsson,NJD/SJS,W,W,13,0,3,3,-6,0,6,7,5,18,20222023,10.7,0.8231
Austin Wagner,CHI,W,W,7,1,1,2,-2,0,0,19,1,13,20222023,11.1,1.5857
Cole McWard,VAN,D,D,5,1,0,1,0,0,0,5,6,6,20222023,7,1.4
Zack MacEwen,PHI/LAK,C,C,56,4,6,10,-11,0,66,150,29,73,20222023,74,1.3214
Evgeny Kuznetsov,WAS,C,C,81,12,43,55,-26,0,56,43,29,172,20222023,165.9,2.0481
Cal Clutterbuck,NYI,W,W,49,6,6,12,9,0,30,194,33,44,20222023,90.2,1.8408
Anthony Cirelli,TBL,C,C,58,11,18,29,13,2,33,34,46,111,20222023,115.7,1.9948
Phil Kessel,VGK,W,W,82,14,22,36,-7,0,30,10,28,149,20222023,124.1,1.5134
Joe Veleno,DET,C,C,81,9,11,20,-12,0,30,152,44,85,20222023,106,1.3086
Nicolas Aube-Kubel,TOR/WAS,W,W,53,4,8,12,1,0,50,117,9,67,20222023,67.8,1.2792
Ben Chiarot,DET,D,D,76,5,14,19,-31,0,51,147,163,110,20222023,134,1.7632
Pat Maroon,TBL,W,W,80,5,9,14,-5,0,150,172,12,62,20222023,81.9,1.0238
Rasmus Dahlin,BUF,D,D,78,15,58,73,12,0,92,105,132,204,20222023,266,3.4103
Kurtis MacDermid,COL,D,D,44,1,5,6,-1,0,55,86,31,20,20222023,43.2,0.9818
Mats Zuccarello,MIN,W,W,78,22,45,67,-3,0,26,51,51,198,20222023,220.2,2.8231
Robert Bortuzzo,STL,D,D,43,2,3,5,9,0,29,64,49,30,20222023,48.2,1.1209
Jeff Skinner,BUF,W,W,79,35,47,82,15,0,39,21,14,242,20222023,260.3,3.2949
Kent Johnson,CBJ,C,CW,79,16,24,40,-19,0,14,15,30,126,20222023,127.5,1.6139
Erik Gustafsson,WAS/TOR,D,D,70,7,35,42,9,0,23,52,63,122,20222023,147.4,2.1057
Matt Martin,NYI,W,W,81,7,12,19,4,0,63,295,43,82,20222023,134.5,1.6605
Saku Maenalanen,WPG,W,W,64,4,6,10,0,0,16,113,31,61,20222023,68.1,1.0641
Chris Wideman,MTL,D,D,46,0,6,6,-6,0,81,25,51,31,20222023,36.7,0.7978
Casey Mittelstadt,BUF,C,C,82,15,44,59,-8,1,22,30,16,135,20222023,168.4,2.0537
Tyler Bertuzzi,DET/BOS,W,W,50,8,22,30,-8,0,29,54,22,107,20222023,104.4,2.088
Mason McTavish,ANA,C,CW,80,17,26,43,-19,0,44,55,37,161,20222023,151.6,1.895
Neal Pionk,WPG,D,D,82,10,23,33,-12,1,44,169,129,142,20222023,173.3,2.1134
Evan Rodrigues,COL,C,CW,69,16,23,39,7,0,30,34,27,184,20222023,147.8,2.142
Rasmus Kupari,LAK,C,C,66,3,12,15,-5,1,12,80,34,53,20222023,68.3,1.0348
Nick Cousins,FLA,C,C,79,9,18,27,-1,0,38,87,36,102,20222023,111.3,1.4089
Eetu Luostarinen,FLA,C,CW,82,17,26,43,19,1,28,64,51,132,20222023,163.2,1.9902
Derek Forbort,BOS,D,D,54,5,7,12,12,2,23,106,88,38,20222023,87.8,1.6259
Travis Boyd,ARI,C,C,82,15,19,34,-32,0,26,39,59,94,20222023,117.7,1.4354
Christian Dvorak,MTL,C,C,64,10,18,28,-12,1,6,13,66,88,20222023,102.4,1.6
Gustav Nyquist,CBJ/MIN,C,W,51,11,16,27,-9,2,16,41,30,102,20222023,99.9,1.9588
Akito Hirose,VAN,D,D,7,0,3,3,-1,0,4,6,6,4,20222023,9.5,1.3571
Justin Faulk,STL,D,D,82,11,39,50,-4,0,34,112,140,196,20222023,213.4,2.6024
Guillaume Brisebois,VAN,D,D,17,1,2,3,-2,0,6,11,27,15,20222023,19.7,1.1588
Connor Dewar,MIN,C,C,81,6,12,18,-5,4,50,124,50,87,20222023,97.7,1.2062
Craig Smith,BOS/WAS,C,C,64,9,7,16,5,0,18,48,21,104,20222023,79.2,1.2375
Axel Jonsson-Fjallby,WPG,W,W,50,6,8,14,-1,1,8,43,18,54,20222023,58.5,1.17
Dylan Holloway,EDM,W,W,51,3,6,9,0,0,27,83,16,44,20222023,51.2,1.0039
Jalen Chatfield,CAR,D,D,78,6,8,14,23,2,35,78,63,93,20222023,94,1.2051
Morgan Rielly,TOR,D,D,65,4,37,41,-9,0,21,70,85,126,20222023,148,2.2769
Mattias Janmark,EDM,C,C,66,10,15,25,9,4,30,20,26,79,20222023,90.3,1.3682
Rem Pitlick,MTL,C,C,46,6,9,15,-15,1,22,23,18,30,20222023,47.5,1.0326
Kale Clague,BUF,D,D,33,0,4,4,-3,0,24,24,24,24,20222023,23.9,0.7242
Chris Tanev,CGY,D,D,65,1,12,13,7,0,21,51,130,75,20222023,93.3,1.4354
Ross Colton,TBL,C,CW,81,16,16,32,-8,0,50,188,28,153,20222023,154.2,1.9037
Brian Dumoulin,PIT,D,D,82,1,24,25,-4,2,16,123,142,82,20222023,133.4,1.6268
Bo Horvat,VAN/NYI,C,C,79,38,32,70,-1,5,18,57,55,229,20222023,251.4,3.1823
Josh Brown,ARI,D,D,68,4,3,7,-18,0,87,152,118,68,20222023,92,1.3529
Dante Fabbro,NAS,D,D,79,2,9,11,-4,0,50,113,129,101,20222023,104.3,1.3203
Radko Gudas,FLA,D,D,72,2,15,17,14,0,79,312,124,110,20222023,161.8,2.2472
Michael Rasmussen,DET,C,C,56,10,19,29,2,0,43,119,48,88,20222023,124.4,2.2214
Josh Manson,COL,D,D,27,2,8,10,13,0,42,64,41,41,20222023,59.2,2.1926
Parker Kelly,OTT,W,W,55,1,3,4,-9,1,37,172,25,59,20222023,60,1.0909
Nick Bjugstad,ARI/EDM,C,C,78,17,12,29,13,1,34,168,44,145,20222023,154.7,1.9833
Lars Eller,WAS/COL,C,C,84,10,13,23,3,1,46,93,42,140,20222023,116.1,1.3821
Kieffer Bellows,NYI/PHI,W,W,28,3,0,3,-8,0,6,48,10,32,20222023,25.6,0.9143
Jeremy Lauzon,NAS,D,D,67,3,9,12,-11,1,66,250,75,77,20222023,111.6,1.6657
Vasily Podkolzin,VAN,W,W,39,4,3,7,-5,0,9,52,15,41,20222023,39.6,1.0154
Dmitry Orlov,WAS/BOS,D,D,66,7,29,36,12,1,22,137,85,124,20222023,160.3,2.4288
Sam Steel,MIN,C,C,65,10,18,28,11,1,18,46,15,85,20222023,100,1.5385
Nate Schmidt,WPG,D,D,71,7,12,19,15,0,8,45,85,101,20222023,104.2,1.4676
Mark Giordano,TOR,D,D,78,4,20,24,27,1,53,60,147,107,20222023,137.6,1.7641
Ryan Suter,DAL,D,D,82,3,22,25,0,1,26,81,115,92,20222023,122.1,1.489
Jakob Chychrun,ARI/OTT,D,D,48,9,24,33,7,0,30,55,83,144,20222023,141.8,2.9542
Nikita Okhotiuk,NJD,D,D,10,1,0,1,1,0,2,31,9,6,20222023,13.4,1.34
Dylan Larkin,DET,C,C,80,32,47,79,-7,1,45,47,27,244,20222023,254.2,3.1775
Brady Skjei,CAR,D,D,81,18,20,38,7,1,40,71,62,188,20222023,166.5,2.0556
Nico Hischier,NJD,C,C,81,31,49,80,33,4,10,34,61,256,20222023,277.2,3.4222
Trevor van Riemsdyk,WAS,D,D,75,7,16,23,10,0,15,21,160,97,20222023,127.6,1.7013
Connor Clifton,BOS,D,D,78,5,18,23,20,1,60,208,120,93,20222023,153.2,1.9641
Nick Bonino,SJS/PIT,C,C,62,10,9,19,-5,0,28,19,79,91,20222023,92.2,1.4871
Connor McDavid,EDM,C,C,82,64,89,153,22,7,36,89,40,352,20222023,476.8,5.8146
Tom Wilson,WAS,W,W,33,13,9,22,-13,0,78,97,30,82,20222023,97.9,2.9667
Zach Hyman,EDM,W,W,79,36,47,83,13,0,39,77,19,276,20222023,282.2,3.5722
Kevin Bahl,NJD,D,D,42,2,6,8,4,0,35,64,38,27,20222023,48.8,1.1619
Juuso Parssinen,NAS,C,C,45,6,19,25,-1,0,15,76,18,49,20222023,86.1,1.9133
Logan O'Connor,COL,W,W,82,9,17,26,11,3,37,116,50,104,20222023,123.3,1.5037
Nikolai Knyzhov,SJS,D,D,12,1,0,1,-13,0,8,11,16,10,20222023,8.1,0.675
Brock Nelson,NYI,C,C,82,36,39,75,13,0,24,50,43,222,20222023,257.2,3.1366
Drew Doughty,LAK,D,D,81,9,43,52,12,0,34,115,104,145,20222023,199.8,2.4667
Julien Gauthier,NYR/OTT,W,W,57,9,5,14,-6,0,6,105,13,53,20222023,70.7,1.2404
Alex Ovechkin,WAS,W,W,73,42,33,75,-16,0,48,188,23,294,20222023,290.5,3.9795
Sean Monahan,MTL,C,C,25,6,11,17,-5,0,16,10,8,55,20222023,53.9,2.156
Cody Glass,NAS,C,C,72,14,21,35,9,0,20,62,31,131,20222023,134.6,1.8694
Alexander Holtz,NJD,W,W,19,3,1,4,-6,0,8,6,4,21,20222023,15.8,0.8316
Jake McCabe,CHI/TOR,D,D,76,3,22,25,19,0,56,163,151,96,20222023,155.8,2.05
Radim Simek,SJS,D,D,44,1,2,3,-13,0,29,89,74,39,20222023,50.9,1.1568
Yakov Trenin,NAS,C,C,77,12,12,24,-7,2,47,167,30,140,20222023,128.3,1.6662
Aidan McDonough,VAN,W,W,6,1,0,1,-2,0,2,7,2,4,20222023,5.2,0.8667
Tyler Kleven,OTT,D,D,8,0,2,2,-1,0,2,9,7,11,20222023,9.8,1.225
Jamie Benn,DAL,W,W,82,33,45,78,23,3,34,97,38,190,20222023,264.7,3.228
Trevor Lewis,CGY,C,C,82,9,11,20,-7,1,18,158,33,144,20222023,117.2,1.4293
Jack Quinn,BUF,W,W,75,14,23,37,-7,1,15,43,19,126,20222023,125.4,1.672
Adam Ruzicka,CGY,C,C,44,6,14,20,-1,0,8,28,8,64,20222023,66.5,1.5114
Taylor Raddysh,CHI,W,W,78,20,17,37,-28,0,16,82,38,129,20222023,139.2,1.7846
Jaret Anderson-Dolan,LAK,C,C,46,7,5,12,-11,0,2,61,29,54,20222023,59.4,1.2913
Andreas Englund,COL/CHI,D,D,47,0,4,4,-1,0,35,133,33,31,20222023,50.4,1.0723
Ryan Strome,ANA,C,W,82,15,26,41,-30,0,79,29,24,130,20222023,127,1.5488
Dylan Samberg,WPG,D,D,63,2,6,8,10,1,25,91,93,49,20222023,76.9,1.2206
Matt Irwin,WAS,D,D,61,2,3,5,-8,0,36,117,75,79,20222023,71.3,1.1689
Calen Addison,MIN,D,D,62,3,26,29,-17,0,22,19,38,77,20222023,86.5,1.3952
Matt Roy,LAK,D,D,82,9,17,26,8,2,22,119,153,135,20222023,160.1,1.9524
Bowen Byram,COL,D,D,42,10,14,24,7,1,38,82,54,65,20222023,105.7,2.5167
Jakob Pelletier,CGY,W,W,24,3,4,7,-5,0,2,15,14,48,20222023,32.3,1.3458
Aliaksei Protas,WAS,C,C,58,4,11,15,-8,0,12,39,15,83,20222023,60.5,1.0431
Mattias Ekholm,NAS/EDM,D,D,78,9,23,32,28,1,28,91,104,135,20222023,157.8,2.0231
Morgan Frost,PHI,C,C,81,19,27,46,-12,0,24,85,53,155,20222023,171.3,2.1148
Brandon Duhaime,MIN,W,W,51,9,1,10,6,1,42,146,18,80,20222023,81.4,1.5961
Alex Tuch,BUF,W,W,74,36,43,79,14,1,20,54,46,218,20222023,266.4,3.6
Jordan Greenway,MIN/BUF,W,W,62,6,5,11,-6,0,26,107,39,99,20222023,79.1,1.2758
Lucas Raymond,DET,W,W,74,17,28,45,-17,0,24,43,20,134,20222023,143.3,1.9365
Colin White,FLA,C,C,68,8,7,15,0,0,12,61,29,64,20222023,71.7,1.0544
David Krejci,BOS,C,C,70,16,40,56,23,0,20,41,38,112,20222023,176.9,2.5271
Jack McBain,ARI,C,C,82,12,14,26,-8,0,64,304,51,85,20222023,154.7,1.8866
Ryan O'Reilly,STL/TOR,C,C,53,16,14,30,-21,1,16,18,23,102,20222023,100.6,1.8981
Pavel Zacha,BOS,C,C,82,21,36,57,26,1,16,67,21,131,20222023,188.7,2.3012
Josh Mahura,FLA,D,D,82,4,12,16,17,0,48,101,70,78,20222023,97.9,1.1939
Evgeni Malkin,PIT,C,C,82,27,56,83,-12,0,82,53,33,240,20222023,257.9,3.1451
Brendan Gallagher,MTL,W,W,37,8,6,14,-5,0,45,18,13,93,20222023,60.6,1.6378
Alex Chiasson,DET,W,W,20,6,3,9,-8,0,6,14,7,25,20222023,31.5,1.575
Charles Hudon,COL,W,W,9,0,0,0,-2,0,2,13,2,18,20222023,6.2,0.6889
Kevin Shattenkirk,ANA,D,D,75,4,23,27,-20,0,56,79,115,145,20222023,131.3,1.7507
Artturi Lehkonen,COL,W,W,64,21,30,51,8,1,28,93,43,150,20222023,186.9,2.9203
Marcus Foligno,MIN,W,W,65,7,14,21,-6,0,97,237,40,83,20222023,123.2,1.8954
Lane Pederson,VAN/CBJ,C,C,27,3,3,6,-1,0,26,68,11,27,20222023,37,1.3704
Kirill Marchenko,CBJ,W,W,59,21,4,25,-23,0,16,34,39,131,20222023,108.8,1.8441
Beck Malenstyn,WAS,W,W,9,1,1,2,0,0,2,34,5,7,20222023,14.7,1.6333
Timo Meier,SJS/NJD,W,W,78,40,26,66,-19,0,43,154,37,327,20222023,273.6,3.5077
Olli Maatta,DET,D,D,78,6,17,23,-9,0,14,78,128,62,20222023,115.7,1.4833
Torey Krug,STL,D,D,63,7,25,32,-26,0,49,40,87,126,20222023,122.5,1.9444
Cole Caufield,MTL,W,W,46,26,10,36,-10,0,2,18,12,158,20222023,133.8,2.9087
Nick Suzuki,MTL,C,C,82,26,40,66,-13,3,33,50,56,162,20222023,213.3,2.6012
Jesper Bratt,NJD,W,W,82,32,41,73,14,0,6,24,23,212,20222023,236.3,2.8817
Matt Luff,DET,W,W,19,2,2,4,-4,0,0,22,9,20,20222023,19.9,1.0474
Jesper Fast,CAR,W,W,80,10,19,29,9,3,16,104,40,76,20222023,118.7,1.4838
Teddy Blueger,PIT/VGK,C,C,63,4,12,16,-9,1,30,71,47,85,20222023,78.6,1.2476
Nolan Foote,NJD,W,W,6,1,0,1,2,0,0,5,3,4,20222023,6.3,1.05
Jordan Martinook,CAR,W,W,82,13,21,34,7,2,61,81,31,162,20222023,141,1.7195
John Tavares,TOR,C,C,80,36,44,80,-7,0,34,112,36,277,20222023,282.5,3.5312
Mikko Rantanen,COL,W,W,82,55,50,105,15,0,82,77,41,306,20222023,358.4,4.3707
Josh Bailey,NYI,W,W,64,8,17,25,3,0,2,11,31,72,20222023,84.8,1.325
Michael McLeod,NJD,C,C,80,4,22,26,6,1,43,127,51,90,20222023,116.5,1.4562
Hunter McKown,CBJ,C,C,12,0,2,2,-4,0,8,12,5,13,20222023,9.3,0.775
Dylan Coghlan,CAR,D,D,17,0,3,3,-1,0,2,11,9,29,20222023,16.4,0.9647
Chris Kreider,NYR,W,W,79,36,18,54,21,4,26,128,24,229,20222023,228.9,2.8975
Ryan Hartman,MIN,W,CW,59,15,22,37,7,4,90,62,48,149,20222023,147.7,2.5034
Mark Kastelic,OTT,C,C,65,7,4,11,-6,0,102,154,37,73,20222023,83.7,1.2877
Drake Batherson,OTT,W,W,82,22,40,62,-35,0,33,115,35,249,20222023,218.8,2.6683
Evan Bouchard,EDM,D,D,82,8,32,40,6,1,28,95,77,156,20222023,163.1,1.989
Alex DeBrincat,OTT,W,W,82,27,39,66,-31,0,45,109,38,263,20222023,235.5,2.872
Phillip Di Giuseppe,VAN,W,W,30,6,6,12,-1,1,14,52,10,71,20222023,57.3,1.91
Tage Thompson,BUF,C,C,78,47,47,94,4,1,39,55,26,295,20222023,314,4.0256
Radek Faksa,DAL,C,C,81,11,9,20,9,2,39,89,69,88,20222023,109.8,1.3556
Mikael Granlund,NAS/PIT,C,CW,79,10,31,41,-15,0,20,78,60,121,20222023,145.3,1.8392
Victor Olofsson,BUF,W,W,75,28,12,40,-23,0,4,16,15,161,20222023,141,1.88
Cal Foote,TBL/NAS,D,D,50,2,5,7,6,0,63,58,52,39,20222023,52.8,1.056
Damon Severson,NJD,D,D,81,7,26,33,9,1,38,44,115,102,20222023,139.4,1.721
Nicklas Backstrom,WAS,C,C,39,7,14,21,-25,0,14,24,23,59,20222023,65,1.6667
Michael Eyssimont,WPG/SJSTBL,C,C,54,5,10,15,3,0,63,107,19,124,20222023,87.8,1.6259
Alec Martinez,VGK,D,D,77,3,11,14,30,1,29,48,244,76,20222023,138,1.7922
Valeri Nichushkin,COL,W,W,53,17,30,47,15,3,2,54,37,158,20222023,169,3.1887
Jujhar Khaira,CHI,W,W,51,6,8,14,-11,1,31,108,40,59,20222023,76.1,1.4922
MacKenzie Entwistle,CHI,W,W,66,4,6,10,-11,0,14,126,28,50,20222023,64.3,0.9742
Sebastian Aho,CAR,C,C,75,36,31,67,8,4,42,59,21,218,20222023,234.1,3.1213
Danton Heinen,PIT,W,W,65,8,14,22,-5,0,12,76,26,96,20222023,92.7,1.4262
Owen Tippett,PHI,W,W,77,27,22,49,-17,0,16,125,69,231,20222023,211.8,2.7506
Cole Guttman,CHI,C,C,14,4,2,6,1,0,2,4,8,26,20222023,24.7,1.7643
Parker Wotherspoon,NYI,D,D,12,0,1,1,5,0,4,8,7,10,20222023,9.2,0.7667
Patric Hornqvist,FLA,W,W,22,1,2,3,-4,0,13,18,8,40,20222023,19.8,0.9
Aaron Ekblad,FLA,D,D,71,14,24,38,-14,1,68,77,80,216,20222023,168.4,2.3718
Alexander Alexeyev,WAS,D,D,32,0,5,5,-2,0,4,33,48,28,20222023,36,1.125
Brett Howden,VGK,C,C,54,6,7,13,5,0,55,107,34,53,20222023,75.7,1.4019
Ben Meyers,COL,C,C,39,4,0,4,-6,0,6,25,13,33,20222023,25.7,0.659
Jordan Harris,MTL,D,D,65,4,13,17,-3,0,26,53,98,70,20222023,91.1,1.4015
Alexander Barabanov,SJS,W,W,68,15,32,47,-30,0,20,40,37,120,20222023,143.1,2.1044
Scott Laughton,PHI,C,C,78,18,25,43,-9,7,50,156,57,170,20222023,183.6,2.3538
